class_idx,class_name,attack,epsilon,accuracy,model
7,horse,FGSM,0.01568627450980392,53.9,FGSM Adversarial Model
8,ship,FGSM,0.01568627450980392,72.9,FGSM Adversarial Model
9,truck,FGSM,0.01568627450980392,57.8,FGSM Adversarial Model
0,airplane,FGSM,0.03137254901960784,45.7,FGSM Adversarial Model
1,automobile,FGSM,0.03137254901960784,48.6,FGSM Adversarial Model
2,bird,FGSM,0.03137254901960784,16.7,FGSM Adversarial Model
3,cat,FGSM,0.03137254901960784,7.4,FGSM Adversarial Model
4,deer,FGSM,0.03137254901960784,20.1,FGSM Adversarial Model
5,dog,FGSM,0.03137254901960784,33.7,FGSM Adversarial Model
6,frog,FGSM,0.03137254901960784,54.3,FGSM Adversarial Model
7,horse,FGSM,0.03137254901960784,42.8,FGSM Adversarial Model
8,ship,FGSM,0.03137254901960784,61.6,FGSM Adversarial Model
9,truck,FGSM,0.03137254901960784,45.4,FGSM Adversarial Model
0,airplane,PGD,0.00784313725490196,59.5,FGSM Adversarial Model
1,automobile,PGD,0.00784313725490196,66.5,FGSM Adversarial Model
2,bird,PGD,0.00784313725490196,28.9,FGSM Adversarial Model
3,cat,PGD,0.00784313725490196,13.6,FGSM Adversarial Model
4,deer,PGD,0.00784313725490196,32.6,FGSM Adversarial Model
5,dog,PGD,0.00784313725490196,46.6,FGSM Adversarial Model
6,frog,PGD,0.00784313725490196,72.9,FGSM Adversarial Model
7,horse,PGD,0.00784313725490196,60.9,FGSM Adversarial Model
8,ship,PGD,0.00784313725490196,78.0,FGSM Adversarial Model
9,truck,PGD,0.00784313725490196,62.5,FGSM Adversarial Model
0,airplane,PGD,0.01568627450980392,53.7,FGSM Adversarial Model
1,automobile,PGD,0.01568627450980392,61.5,FGSM Adversarial Model
2,bird,PGD,0.01568627450980392,23.9,FGSM Adversarial Model
3,cat,PGD,0.01568627450980392,11.6,FGSM Adversarial Model
4,deer,PGD,0.01568627450980392,27.5,FGSM Adversarial Model
5,dog,PGD,0.01568627450980392,42.3,FGSM Adversarial Model
6,frog,PGD,0.01568627450980392,67.4,FGSM Adversarial Model
7,horse,PGD,0.01568627450980392,53.3,FGSM Adversarial Model
8,ship,PGD,0.01568627450980392,72.3,FGSM Adversarial Model
9,truck,PGD,0.01568627450980392,56.5,FGSM Adversarial Model
0,airplane,PGD,0.03137254901960784,44.4,FGSM Adversarial Model
1,automobile,PGD,0.03137254901960784,47.3,FGSM Adversarial Model
2,bird,PGD,0.03137254901960784,16.2,FGSM Adversarial Model
3,cat,PGD,0.03137254901960784,7.4,FGSM Adversarial Model
4,deer,PGD,0.03137254901960784,19.5,FGSM Adversarial Model
5,dog,PGD,0.03137254901960784,33.0,FGSM Adversarial Model
6,frog,PGD,0.03137254901960784,51.9,FGSM Adversarial Model
7,horse,PGD,0.03137254901960784,40.8,FGSM Adversarial Model
8,ship,PGD,0.03137254901960784,59.8,FGSM Adversarial Model
9,truck,PGD,0.03137254901960784,43.7,FGSM Adversarial Model
