class_idx,class_name,attack,epsilon,accuracy,model
2,car,FGSM,0.03137254901960784,43.375,TRADES Model
3,cat,FGSM,0.03137254901960784,5.875,TRADES Model
4,deer,FGSM,0.03137254901960784,52.75,TRADES Model
5,dog,FGSM,0.03137254901960784,11.5,TRADES Model
6,horse,FGSM,0.03137254901960784,38.25,TRADES Model
7,monkey,FGSM,0.03137254901960784,13.0,TRADES Model
8,ship,FGSM,0.03137254901960784,44.375,TRADES Model
9,truck,FGSM,0.03137254901960784,43.5,TRADES Model
0,airplane,PGD,0.00784313725490196,75.75,TRADES Model
1,bird,PGD,0.00784313725490196,23.625,TRADES Model
2,car,PGD,0.00784313725490196,59.875,TRADES Model
3,cat,PGD,0.00784313725490196,20.125,TRADES Model
4,deer,PGD,0.00784313725490196,69.375,TRADES Model
5,dog,PGD,0.00784313725490196,29.375,TRADES Model
6,horse,PGD,0.00784313725490196,58.625,TRADES Model
7,monkey,PGD,0.00784313725490196,28.875,TRADES Model
8,ship,PGD,0.00784313725490196,58.875,TRADES Model
9,truck,PGD,0.00784313725490196,57.5,TRADES Model
0,airplane,PGD,0.01568627450980392,70.125,TRADES Model
1,bird,PGD,0.01568627450980392,19.75,TRADES Model
2,car,PGD,0.01568627450980392,54.125,TRADES Model
3,cat,PGD,0.01568627450980392,13.125,TRADES Model
4,deer,PGD,0.01568627450980392,63.125,TRADES Model
5,dog,PGD,0.01568627450980392,22.5,TRADES Model
6,horse,PGD,0.01568627450980392,51.75,TRADES Model
7,monkey,PGD,0.01568627450980392,21.5,TRADES Model
8,ship,PGD,0.01568627450980392,53.875,TRADES Model
9,truck,PGD,0.01568627450980392,51.75,TRADES Model
0,airplane,PGD,0.03137254901960784,60.875,TRADES Model
1,bird,PGD,0.03137254901960784,13.875,TRADES Model
2,car,PGD,0.03137254901960784,42.125,TRADES Model
3,cat,PGD,0.03137254901960784,5.375,TRADES Model
4,deer,PGD,0.03137254901960784,51.625,TRADES Model
5,dog,PGD,0.03137254901960784,10.5,TRADES Model
6,horse,PGD,0.03137254901960784,36.625,TRADES Model
7,monkey,PGD,0.03137254901960784,12.75,TRADES Model
8,ship,PGD,0.03137254901960784,42.875,TRADES Model
9,truck,PGD,0.03137254901960784,40.875,TRADES Model
